"filename", "language", "HTML", "Python", "comment", "blank", "total"
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/network/hw1/q3/py/args.py", "Python", 0, 5, 0, 1, 6
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/network/hw1/q3/py/connection.py", "Python", 0, 55, 9, 14, 78
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/network/hw1/q3/py/console.py", "Python", 0, 10, 1, 3, 14
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/network/hw1/q3/py/data1/x.html", "HTML", 3, 0, 0, 2, 5
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/network/hw1/q3/py/data2/x.html", "HTML", 3, 0, 0, 2, 5
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/network/hw1/q3/py/file.py", "Python", 0, 16, 0, 5, 21
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/network/hw1/q3/py/handler.py", "Python", 0, 50, 3, 13, 66
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/network/hw1/q3/py/http_pkg/http_message.py", "Python", 0, 70, 8, 23, 101
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/network/hw1/q3/py/http_pkg/http_util.py", "Python", 0, 40, 5, 12, 57
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/network/hw1/q3/py/index.html", "HTML", 3, 0, 0, 1, 4
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/network/hw1/q3/py/main.py", "Python", 0, 25, 4, 8, 37
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/network/hw1/q3/py/port_manager.py", "Python", 0, 17, 1, 3, 21
"/Users/amadeus/Library/Mobile Documents/com~apple~CloudDocs/Documents/homework/network/hw1/q3/py/server.py", "Python", 0, 18, 3, 6, 27
"Total", "-", 9, 306, 34, 93, 442